cellfinder_index,cf_x_um,cf_y_um,cf_z_um,nearest_pipeline_index,pipeline_x_um,pipeline_y_um,pipeline_z_um,nearest_distance_um,mutual_match,matched_within_10um,distance_group
900,3440.708,2594.336,18.0,6337,3394.524,2602.368,30.0,48.3888,False,False,over_20um
901,3779.056,2598.352,18.0,3940,3785.08,2561.204,18.0,37.6333,False,False,over_20um
902,4105.356,2600.36,18.0,1635,4118.408,2602.368,12.0,14.5047,True,False,10-20um
903,3745.924,2622.448,18.0,2750,3737.892,2574.256,18.0,48.8567,False,False,over_20um
904,3453.76,2624.456,18.0,1639,3489.904,2610.4,6.0,40.5951,False,False,over_20um
905,3389.504,2627.468,18.0,6337,3394.524,2602.368,30.0,28.2703,False,False,over_20um
906,3455.768,2637.508,24.0,1639,3489.904,2610.4,6.0,47.1605,False,False,over_20um
907,3479.864,2639.516,30.0,6342,3507.976,2643.532,36.0,29.0243,True,False,over_20um
908,3956.764,2645.54,24.0,312,3957.768,2665.62,0.0,31.3084,False,False,over_20um
909,3457.776,2654.576,30.0,6342,3507.976,2643.532,36.0,51.7495,False,False,over_20um
910,4003.952,2675.66,18.0,301,3990.9,2646.544,12.0,32.4668,False,False,over_20um
911,3859.376,2697.748,24.0,320,3890.5,2690.72,0.0,39.9261,False,False,over_20um
912,3587.292,2722.848,24.0,314,3588.296,2667.628,0.0,60.2184,False,False,over_20um
913,3409.584,2722.848,24.0,322,3407.576,2711.804,6.0,21.2133,False,False,over_20um
914,3643.516,2738.912,18.0,343,3654.56,2792.124,6.0,55.6551,False,False,over_20um
915,3695.724,2740.92,24.0,337,3701.748,2771.04,6.0,35.602,False,False,over_20um
916,3436.692,2741.924,18.0,5181,3423.64,2761.0,24.0,23.8799,False,False,over_20um
917,3475.848,2759.996,18.0,5181,3423.64,2761.0,24.0,52.5612,False,False,over_20um
918,3537.092,2772.044,18.0,351,3578.256,2827.264,18.0,68.8747,False,False,over_20um
919,3548.136,2813.208,18.0,351,3578.256,2827.264,18.0,33.2383,False,False,over_20um
920,3511.992,2819.232,30.0,360,3531.068,2854.372,30.0,39.9839,False,False,over_20um
921,3612.392,2842.324,18.0,351,3578.256,2827.264,18.0,37.3105,False,False,over_20um
922,3564.2,2895.536,18.0,373,3548.136,2886.5,12.0,19.383,False,False,10-20um
923,3614.4,2896.54,24.0,370,3629.46,2878.468,0.0,33.6066,False,False,over_20um
924,3369.424,3056.176,18.0,1697,3396.532,3076.256,12.0,34.2644,False,False,over_20um
925,3353.36,3081.276,24.0,2821,3345.328,3119.428,18.0,39.4473,False,False,over_20um
926,3207.78,3107.38,30.0,4013,3229.868,3135.492,18.0,37.7116,False,False,over_20um
927,3132.48,3143.524,24.0,442,3163.604,3177.66,6.0,49.5779,False,False,over_20um
928,3293.12,3148.544,30.0,2821,3345.328,3119.428,18.0,60.9706,False,False,over_20um
929,3126.456,3147.54,18.0,442,3163.604,3177.66,6.0,49.3071,False,False,over_20um
930,3080.272,3156.576,24.0,442,3163.604,3177.66,6.0,87.8223,False,False,over_20um
931,3138.504,3155.572,24.0,442,3163.604,3177.66,6.0,37.9722,False,False,over_20um
932,3120.432,3171.636,18.0,442,3163.604,3177.66,6.0,45.2118,False,False,over_20um
933,3103.364,3186.696,24.0,442,3163.604,3177.66,6.0,63.5178,False,False,over_20um
934,3045.132,3209.788,24.0,452,3009.992,3211.796,0.0,42.6011,False,False,over_20um
935,3153.564,3214.808,18.0,2850,3166.616,3240.912,24.0,29.7955,False,False,over_20um
936,8879.376,3215.812,18.0,2844,8880.38,3215.812,12.0,6.0834,True,True,6-10um
937,2367.432,3242.92,18.0,5233,2353.376,3257.98,30.0,23.8406,True,False,over_20um
938,2797.144,3566.208,18.0,2908,2797.144,3566.208,18.0,0.0,True,True,0-3um
939,6434.636,3663.596,30.0,1809,6434.636,3663.596,24.0,6.0,True,True,6-10um
940,2712.808,3836.284,18.0,2961,2711.804,3836.284,18.0,1.004,True,True,0-3um
941,3418.62,4038.088,18.0,1894,3418.62,4038.088,12.0,6.0,True,True,6-10um
942,3018.024,4067.204,18.0,1904,3015.012,4067.204,18.0,3.012,True,True,3-6um
943,2016.032,4154.552,18.0,1914,2016.032,4153.548,12.0,6.0834,True,True,6-10um
944,1915.632,4195.716,18.0,3037,1915.632,4195.716,12.0,6.0,True,True,6-10um
945,1895.552,4321.216,18.0,3064,1895.552,4321.216,12.0,6.0,True,True,6-10um
946,4429.648,4391.496,18.0,1971,4429.648,4391.496,12.0,6.0,True,True,6-10um
947,11249.82,4396.516,18.0,3081,11249.82,4396.516,12.0,6.0,True,True,6-10um
948,11303.032,4495.912,18.0,3107,11305.04,4495.912,12.0,6.3271,True,True,6-10um
949,1522.064,4497.92,18.0,1998,1521.06,4497.92,18.0,1.004,True,True,0-3um
950,1791.136,4503.944,18.0,3108,1791.136,4503.944,18.0,0.0,True,True,0-3um
951,2939.712,4520.008,18.0,3112,2937.704,4520.008,18.0,2.008,True,True,0-3um
952,1465.84,4524.024,18.0,3114,1465.84,4524.024,12.0,6.0,True,True,6-10um
953,1719.852,4592.296,18.0,3132,1720.856,4592.296,12.0,6.0834,True,True,6-10um
954,1684.712,4597.316,24.0,3136,1684.712,4597.316,18.0,6.0,True,True,6-10um
955,1415.64,4654.544,18.0,3146,1415.64,4653.54,12.0,6.0834,True,True,6-10um
956,1402.588,4658.56,18.0,3149,1402.588,4658.56,18.0,0.0,True,True,0-3um
957,1397.568,4724.824,18.0,2043,1398.572,4725.828,12.0,6.1657,True,True,6-10um
958,1335.32,4777.032,18.0,2052,1336.324,4777.032,18.0,1.004,True,True,0-3um
959,3500.948,5010.964,18.0,3237,3500.948,5010.964,18.0,0.0,True,True,0-3um
960,11179.54,5058.152,18.0,2105,11179.54,5058.152,12.0,6.0,True,True,6-10um
961,1686.72,5096.304,18.0,2118,1686.72,5096.304,12.0,6.0,True,True,6-10um
962,1417.648,5136.464,18.0,2131,1418.652,5135.46,12.0,6.1657,True,True,6-10um
963,1447.768,5304.132,18.0,2174,1447.768,5304.132,12.0,6.0,True,True,6-10um
964,4897.512,5477.824,18.0,2222,4897.512,5477.824,12.0,6.0,True,True,6-10um
965,10558.064,6272.992,18.0,3643,10557.06,6272.992,18.0,1.004,True,True,0-3um
966,10252.848,6275.0,18.0,3645,10252.848,6275.0,18.0,0.0,True,True,0-3um
967,10574.128,6281.024,18.0,3649,10574.128,6280.02,18.0,1.004,True,True,0-3um
968,1991.936,6364.356,18.0,3681,1990.932,6363.352,12.0,6.1657,True,True,6-10um
969,2349.36,6537.044,18.0,3722,2349.36,6537.044,18.0,0.0,True,True,0-3um
970,3029.068,6896.476,18.0,2581,3030.072,6896.476,18.0,1.004,True,True,0-3um
971,4953.736,7013.944,18.0,3759,4954.74,7012.94,12.0,6.1657,True,True,6-10um
972,5243.892,1460.82,30.0,3763,5243.892,1460.82,24.0,6.0,True,True,6-10um
973,4393.504,1546.16,24.0,6182,4437.68,1706.8,36.0,167.0351,False,False,over_20um
974,4353.344,1584.312,24.0,3771,4281.056,1678.688,18.0,119.031,False,False,over_20um
975,4264.992,1603.388,30.0,3771,4281.056,1678.688,18.0,77.924,False,False,over_20um
976,4269.008,1620.456,24.0,3771,4281.056,1678.688,18.0,59.7672,False,False,over_20um
977,4189.692,1622.464,30.0,3770,4151.54,1651.58,18.0,49.4704,False,False,over_20um
978,4206.76,1627.484,24.0,3770,4151.54,1651.58,18.0,60.5464,False,False,over_20um
979,4205.756,1629.492,24.0,3770,4151.54,1651.58,18.0,58.8494,False,False,over_20um
980,4066.2,1675.676,30.0,5019,4140.496,1651.58,30.0,78.1058,False,False,over_20um
981,4179.652,1703.788,30.0,1469,4136.48,1704.792,6.0,49.4048,False,False,over_20um
982,4005.96,1705.796,30.0,1469,4136.48,1704.792,6.0,132.712,False,False,over_20um
983,4014.996,1730.896,24.0,1469,4136.48,1704.792,6.0,125.5539,False,False,over_20um
984,4088.288,1741.94,30.0,1469,4136.48,1704.792,6.0,65.4098,False,False,over_20um
985,4147.524,1754.992,24.0,1469,4136.48,1704.792,6.0,54.4611,False,False,over_20um
986,4132.464,1772.06,30.0,1469,4136.48,1704.792,6.0,71.534,False,False,over_20um
987,4009.976,1784.108,24.0,7434,3936.684,1832.3,6.0,89.5443,False,False,over_20um
988,4118.408,1786.116,30.0,1469,4136.48,1704.792,6.0,86.696,False,False,over_20um
989,4075.236,1817.24,24.0,1469,4136.48,1704.792,6.0,129.3034,False,False,over_20um
990,3840.3,1824.268,24.0,6193,3833.272,1827.28,36.0,14.229,False,False,10-20um
991,4026.04,1869.448,30.0,7434,3936.684,1832.3,6.0,99.7019,False,False,over_20um
992,4088.288,1872.46,24.0,21,4153.548,1942.74,0.0,98.8643,False,False,over_20um
993,3791.104,1891.536,30.0,5045,3807.168,1907.6,24.0,23.4969,False,False,over_20um
994,3333.28,1887.52,24.0,1483,3302.156,1923.664,12.0,49.1843,False,False,over_20um
995,3304.164,1888.524,24.0,1483,3302.156,1923.664,12.0,37.1867,False,False,over_20um
996,4018.008,1897.56,24.0,7434,3936.684,1832.3,6.0,105.8133,False,False,over_20um
997,4112.384,1896.556,24.0,21,4153.548,1942.74,0.0,66.3584,True,False,over_20um
998,3676.648,1902.58,24.0,6202,3710.784,1927.68,30.0,42.7934,False,False,over_20um
999,3780.06,1907.6,30.0,5045,3807.168,1907.6,24.0,27.7641,False,False,over_20um
1000,3762.992,1914.628,24.0,2609,3771.024,1931.696,18.0,19.7947,False,False,10-20um
