x,y,z,plane,x_um,y_um,z_um
3864,2582,2,3,3879.456,2592.328,12.0
3621,2583,1,2,3635.484,2593.332,6.0
3497,2582,1,2,3510.988,2592.328,6.0
3816,2585,3,4,3831.264,2595.34,18.0
3642,2587,1,2,3656.568,2597.348,6.0
3973,2588,1,2,3988.892,2598.352,6.0
3847,2590,1,2,3862.388,2600.36,6.0
3778,2600,2,3,3793.112,2610.4,12.0
3881,2590,2,3,3896.524,2600.36,12.0
3908,2593,1,2,3923.632,2603.372,6.0
3419,2589,4,5,3432.676,2599.356,24.0
3724,2593,1,2,3738.896,2603.372,6.0
3516,2596,1,2,3530.064,2606.384,6.0
3894,2596,1,2,3909.576,2606.384,6.0
3857,2599,2,3,3872.428,2609.396,12.0
3736,2601,1,2,3750.944,2611.404,6.0
3816,2602,1,2,3831.264,2612.408,6.0
3987,2595,3,4,4002.948,2605.38,18.0
3921,2608,3,4,3936.684,2618.432,18.0
3510,2608,4,5,3524.04,2618.432,24.0
3800,2607,2,3,3815.2,2617.428,12.0
3945,2611,2,3,3960.78,2621.444,12.0
3441,2606,1,2,3454.764,2616.424,6.0
3712,2607,3,4,3726.848,2617.428,18.0
3838,2608,2,3,3853.352,2618.432,12.0
3390,2610,4,5,3403.56,2620.44,24.0
3516,2606,1,2,3530.064,2616.424,6.0
3740,2608,2,3,3754.96,2618.432,12.0
3665,2614,4,5,3679.66,2624.456,24.0
3413,2613,4,5,3426.652,2623.452,24.0
3429,2613,2,3,3442.716,2623.452,12.0
3791,2613,1,2,3806.164,2623.452,6.0
3859,2615,1,2,3874.436,2625.46,6.0
3776,2620,1,2,3791.104,2630.48,6.0
3736,2621,1,2,3750.944,2631.484,6.0
3850,2634,2,3,3865.4,2644.536,12.0
3447,2619,1,2,3460.788,2629.476,6.0
3445,2620,1,2,3458.78,2630.48,6.0
3625,2624,1,2,3639.5,2634.496,6.0
3704,2628,3,4,3718.816,2638.512,18.0
3901,2626,2,3,3916.604,2636.504,12.0
3649,2639,3,4,3663.596,2649.556,18.0
3970,2626,1,2,3985.88,2636.504,6.0
3446,2629,1,2,3459.784,2639.516,6.0
